category,title,date,시청률,,,,,,,,,,,
예능,런닝맨,07월 07일,9.8,,,,,,,,,,,
예능,런닝맨,07월 14일,8.4,,,,,,,,,,,
예능,런닝맨,07월 21일,8.9,,,,,,,,,,,
예능,런닝맨,07월 28일,9.2,,,,,,,,,,,
예능,일밤,07월 07일,17,,,,,,,,,,,
예능,일밤,07월 14일,16,,,,,,,,,,,
예능,일밤,07월 21일,17.1,,,,,,,,,,,
예능,일밤,07월 28일,15.4,,,,,,,,,,,
예능,개그콘서트,07월 07일,17.3,,,,,,,,,,,
예능,개그콘서트,07월 14일,18.4,,,,,,,,,,,
예능,개그콘서트,07월 21일,17.8,,,,,,,,,,,
예능,개그콘서트,07월 28일,16.6,,,,,,,,,,,
예능,1박 2일,07월 07일,8.2,,,,,,,,,,,
예능,1박 2일,07월 14일,7.5,,,,,,,,,,,
예능,1박 2일,07월 21일,8,,,,,,,,,,,
예능,1박 2일,07월 28일,7.8,,,,,,,,,,,
뉴스,KBS9시뉴스,07월 07일,19.1,,,,,,,,,,,
뉴스,KBS9시뉴스,07월 14일,19.5,,,,,,,,,,,
뉴스,KBS9시뉴스,07월 21일,20.7,,,,,,,,,,,
뉴스,KBS9시뉴스,07월 28일,21.3,,,,,,,,,,,
뉴스,MBC뉴스데스크,07월 07일,7.7,,,,,,,,,,,
뉴스,MBC뉴스데스크,07월 14일,8.1,,,,,,,,,,,
뉴스,MBC뉴스데스크,07월 21일,7.9,,,,,,,,,,,
뉴스,MBC뉴스데스크,07월 28일,9.9,,,,,,,,,,,
뉴스,SBS8뉴스,07월 07일,10.8,,,,,,,,,,,
뉴스,SBS8뉴스,07월 14일,9.2,,,,,,,,,,,
뉴스,SBS8뉴스,07월 21일,8.8,,,,,,,,,,,
뉴스,SBS8뉴스,07월 28일,10.6,,,,,,,,,,,
드라마,최고다 이순신,07월 07일,26.9,,,,,,,,,,,
드라마,최고다 이순신,07월 14일,26.1,,,,,,,,,,,
드라마,최고다 이순신,07월 21일,22.8,,,,,,,,,,,
드라마,최고다 이순신,07월 28일,21.6,,,,,,,,,,,
드라마,오로라 공주,07월 07일,12,,,,,,,,,,,
드라마,오로라 공주,07월 14일,13.1,,,,,,,,,,,
드라마,오로라 공주,07월 21일,12.4,,,,,,,,,,,
드라마,오로라 공주,07월 28일,12.2,,,,,,,,,,,
드라마,금나와라 뚝딱,07월 07일,18.4,,,,,,,,,,,
드라마,금나와라 뚝딱,07월 14일,16.9,,,,,,,,,,,
드라마,금나와라 뚝딱,07월 21일,17.7,,,,,,,,,,,
드라마,금나와라 뚝딱,07월 28일,17,,,,,,,,,,,
